id_cliente,nome_cliente,segmento,regiao,data_inicio_cliente,industria
123,André Rios,Consumidor,Sul,2023-05-10,Educação
124,Joaquim Souza,Consumidor,Sudeste,2023-08-13,Educação
125,Vinícius Silva,Consumidor,Norte,2022-08-20,Educação
126,Yago Fernandes,Consumidor,Sul,2025-04-17,Saúde
127,Catarina Oliveira,Pequena Empresa,Centro-Oeste,2024-04-25,Educação
128,Anthony Novais,Corporativo,Nordeste,2025-08-11,Tecnologia
129,Heloísa Novais,Consumidor,Nordeste,2022-10-15,Serviços
130,Ana Liz Oliveira,Consumidor,Sul,2023-07-29,Educação
131,Dra. Jade Gomes,Consumidor,Norte,2024-09-14,Saúde
132,Ayla da Conceição,Consumidor,Sul,2023-02-19,Serviços
133,Davi Lucas Camargo,Consumidor,Norte,2023-05-14,Varejo
134,Maria Laura Dias,Consumidor,Centro-Oeste,2025-10-17,Educação
135,Helena da Mata,Corporativo,Norte,2023-11-23,Serviços
136,Ian Freitas,Consumidor,Sul,2023-03-09,Varejo
137,Dr. Otto da Cunha,Consumidor,Centro-Oeste,2025-11-13,Saúde
138,Benjamin Montenegro,Pequena Empresa,Sudeste,2021-06-06,Tecnologia
139,Valentina Barros,Consumidor,Nordeste,2021-11-09,Educação
140,Evelyn Silveira,Corporativo,Sul,2022-01-21,Tecnologia
141,Josué Almeida,Corporativo,Sul,2023-11-23,Saúde
142,Levi Borges,Consumidor,Sul,2022-06-30,Serviços
143,Isabella Barros,Consumidor,Centro-Oeste,2023-08-13,Serviços
144,Srta. Laura Marques,Consumidor,Sudeste,2021-09-04,Saúde
145,Ana Clara Oliveira,Consumidor,Norte,2025-12-28,Saúde
146,Caroline Silveira,Consumidor,Sudeste,2023-06-16,Educação
147,Davi Luiz Dias,Pequena Empresa,Centro-Oeste,2026-02-17,Varejo
148,Maria Júlia Lima,Consumidor,Sul,2025-06-02,Tecnologia
149,Maria Vitória Moreira,Consumidor,Nordeste,2023-09-03,Tecnologia
150,Mariah Rios,Consumidor,Sul,2022-08-21,Serviços
151,Sra. Valentina Câmara,Corporativo,Norte,2024-08-14,Serviços
152,Sr. Yago Leão,Consumidor,Nordeste,2023-02-24,Educação
153,Emanuella Lopes,Consumidor,Sul,2022-01-08,Saúde
154,Augusto Andrade,Consumidor,Nordeste,2023-02-21,Tecnologia
155,Ana Vitória Santos,Corporativo,Sudeste,2025-01-09,Educação
156,Arthur Miguel Sampaio,Consumidor,Centro-Oeste,2025-01-18,Serviços
157,Igor Montenegro,Pequena Empresa,Sul,2021-07-31,Serviços
158,Rodrigo Lopes,Pequena Empresa,Norte,2025-09-16,Tecnologia
159,Heloisa Vasconcelos,Consumidor,Sudeste,2024-07-05,Serviços
160,Pedro Ramos,Pequena Empresa,Sul,2021-07-09,Serviços
161,Maria Farias,Consumidor,Sudeste,2022-09-02,Varejo
162,Eloá Nascimento,Pequena Empresa,Norte,2023-01-14,Saúde
163,Dra. Ana Julia Leão,Pequena Empresa,Sul,2022-08-06,Serviços
164,Vicente Garcia,Consumidor,Norte,2024-02-20,Varejo
165,Luiz Miguel da Cruz,Consumidor,Nordeste,2023-05-01,Educação
166,Eduardo da Conceição,Pequena Empresa,Norte,2022-07-25,Serviços
167,Benicio Pacheco,Consumidor,Nordeste,2024-10-10,Educação
168,Théo Rezende,Consumidor,Sul,2022-08-31,Serviços
169,Alícia Oliveira,Consumidor,Nordeste,2023-10-06,Tecnologia
170,Lívia das Neves,Consumidor,Sul,2025-02-13,Varejo
171,Maria Julia Martins,Pequena Empresa,Sul,2023-04-08,Varejo
172,Maya Cirino,Consumidor,Centro-Oeste,2025-01-07,Tecnologia
173,Leandro Gonçalves,Consumidor,Sul,2021-12-23,Saúde
174,Sr. Mathias Leão,Consumidor,Nordeste,2023-01-21,Varejo
175,Gabrielly Garcia,Pequena Empresa,Centro-Oeste,2022-03-25,Educação
176,Dra. Heloísa Moraes,Consumidor,Centro-Oeste,2023-06-03,Varejo
177,Lucca Teixeira,Pequena Empresa,Sul,2025-09-11,Saúde
178,Apollo Farias,Consumidor,Norte,2023-10-02,Educação
179,Laura Lopes,Corporativo,Norte,2022-12-10,Educação
180,Daniela da Mota,Consumidor,Centro-Oeste,2024-02-18,Tecnologia
181,Felipe Cassiano,Consumidor,Sul,2021-06-25,Serviços
182,Carlos Eduardo Campos,Consumidor,Norte,2023-01-26,Tecnologia
183,Yasmin Novais,Corporativo,Sul,2022-01-28,Serviços
184,Miguel Alves,Corporativo,Sul,2022-05-09,Tecnologia
185,Isis Azevedo,Consumidor,Centro-Oeste,2026-02-05,Serviços
186,Luiz Felipe Cavalcante,Pequena Empresa,Centro-Oeste,2021-05-17,Varejo
187,Sra. Natália Gonçalves,Pequena Empresa,Sudeste,2024-05-14,Educação
188,Sr. Luigi Nogueira,Consumidor,Norte,2022-09-02,Serviços
189,Murilo Fogaça,Consumidor,Norte,2025-09-27,Varejo
190,Sra. Camila Nogueira,Consumidor,Norte,2022-06-20,Saúde
191,Luiz Otávio Monteiro,Consumidor,Nordeste,2026-02-18,Tecnologia
192,Mirella Porto,Corporativo,Sul,2021-05-17,Saúde
193,Dr. Vicente Cavalcanti,Corporativo,Centro-Oeste,2024-07-25,Varejo
194,Yago Garcia,Pequena Empresa,Norte,2023-12-25,Saúde
195,Nina Pastor,Consumidor,Sudeste,2023-03-10,Saúde
196,Mirella Castro,Consumidor,Norte,2022-03-26,Varejo
197,Sr. Isaque Cirino,Pequena Empresa,Sul,2022-12-13,Educação
198,Sarah Sá,Corporativo,Sul,2023-01-08,Serviços
199,Dra. Caroline Sampaio,Corporativo,Centro-Oeste,2025-09-06,Tecnologia
200,Erick Nascimento,Pequena Empresa,Nordeste,2021-03-27,Serviços
201,Igor Rodrigues,Pequena Empresa,Centro-Oeste,2025-02-06,Tecnologia
202,Cauã Barbosa,Consumidor,Norte,2022-11-05,Serviços
203,Vinícius Correia,Consumidor,Sudeste,2024-08-31,Saúde
204,Larissa Marques,Corporativo,Centro-Oeste,2023-01-05,Educação
205,Antônio Porto,Pequena Empresa,Nordeste,2022-12-25,Saúde
206,Heloísa Ferreira,Consumidor,Centro-Oeste,2022-07-01,Educação
207,João Lucas Mendes,Consumidor,Sul,2025-08-08,Varejo
208,Luan Lopes,Pequena Empresa,Norte,2024-04-25,Tecnologia
209,Gabrielly Pastor,Consumidor,Norte,2023-10-14,Tecnologia
210,Manuela Pastor,Consumidor,Norte,2021-09-19,Varejo
211,Dr. João Guilherme Caldeira,Consumidor,Norte,2023-11-05,Serviços
212,Benicio Moura,Pequena Empresa,Norte,2024-11-20,Varejo
213,Rafaela Almeida,Pequena Empresa,Norte,2022-05-12,Varejo
214,Maria Luiza Martins,Consumidor,Sudeste,2022-06-10,Educação
215,Marcelo Almeida,Pequena Empresa,Nordeste,2025-05-24,Varejo
216,Sra. Milena Abreu,Consumidor,Norte,2021-08-22,Tecnologia
217,Théo Lopes,Consumidor,Nordeste,2023-10-19,Saúde
218,Maria Luísa Costela,Pequena Empresa,Norte,2025-02-02,Educação
219,Eduardo Silveira,Pequena Empresa,Centro-Oeste,2024-07-16,Educação
220,Anna Liz Fogaça,Pequena Empresa,Norte,2023-04-21,Serviços
221,Sra. Ayla Azevedo,Pequena Empresa,Sul,2021-12-21,Saúde
222,Dr. Bernardo Martins,Consumidor,Sudeste,2022-01-19,Educação
223,Benjamin da Paz,Consumidor,Centro-Oeste,2024-01-06,Varejo
224,Sr. Bento Casa Grande,Consumidor,Centro-Oeste,2022-01-19,Educação
225,Catarina Jesus,Consumidor,Sul,2022-03-01,Educação
226,Maria Helena Pastor,Consumidor,Norte,2024-10-22,Educação
227,Stella Garcia,Corporativo,Sudeste,2023-04-03,Serviços
228,Zoe Rocha,Consumidor,Centro-Oeste,2021-08-13,Educação
229,Sr. Théo das Neves,Corporativo,Sudeste,2022-08-19,Educação
230,Maria Julia Lima,Pequena Empresa,Centro-Oeste,2022-09-08,Serviços
231,Sr. Benjamin Ribeiro,Pequena Empresa,Norte,2026-01-07,Saúde
232,Caio da Cruz,Consumidor,Centro-Oeste,2022-04-30,Tecnologia
233,Sra. Brenda Viana,Consumidor,Centro-Oeste,2024-08-28,Serviços
234,Maria Alice Macedo,Consumidor,Nordeste,2025-07-18,Serviços
235,Rafael Monteiro,Consumidor,Norte,2025-02-18,Educação
236,Ana Beatriz Pinto,Pequena Empresa,Sul,2024-01-15,Educação
237,Erick Moreira,Consumidor,Sul,2021-08-31,Tecnologia
238,Laís Ramos,Consumidor,Norte,2023-07-09,Educação
239,Raquel Mendes,Pequena Empresa,Sul,2022-05-30,Varejo
240,Júlia Mendonça,Consumidor,Norte,2024-10-01,Educação
241,Gabriela Garcia,Corporativo,Sul,2023-09-24,Educação
242,Erick Dias,Corporativo,Nordeste,2022-05-01,Varejo
243,Calebe Dias,Corporativo,Sul,2025-05-11,Tecnologia
244,Lavínia da Mota,Consumidor,Centro-Oeste,2023-07-10,Varejo
245,Yan Nascimento,Consumidor,Norte,2025-04-15,Serviços
246,Sr. Alexandre Azevedo,Corporativo,Sudeste,2024-03-12,Varejo
247,Valentina Novaes,Consumidor,Sudeste,2025-01-20,Saúde
248,Srta. Vitória Dias,Corporativo,Norte,2025-09-20,Serviços
249,Sara Caldeira,Corporativo,Nordeste,2021-06-21,Educação
250,Maria Isis da Cruz,Corporativo,Sul,2025-01-27,Serviços
251,Luana Dias,Consumidor,Nordeste,2023-04-13,Tecnologia
252,Lucca Viana,Consumidor,Sudeste,2024-01-12,Tecnologia
253,Dr. Luiz Gustavo Silva,Corporativo,Norte,2023-01-18,Varejo
254,Sr. Marcelo Aragão,Consumidor,Norte,2026-03-12,Serviços
255,Luigi Oliveira,Consumidor,Nordeste,2023-09-28,Educação
256,Srta. Maria Fernanda Almeida,Consumidor,Nordeste,2022-01-04,Tecnologia
257,Henry Sá,Corporativo,Sul,2021-10-11,Educação
258,Ana Rodrigues,Pequena Empresa,Centro-Oeste,2025-04-29,Saúde
259,Enzo Gabriel Macedo,Consumidor,Centro-Oeste,2022-12-17,Tecnologia
260,Léo Sales,Consumidor,Sul,2022-06-26,Varejo
261,Manuella Camargo,Pequena Empresa,Centro-Oeste,2023-05-30,Saúde
262,Giovanna Melo,Corporativo,Sudeste,2021-10-01,Serviços
263,Gabriel da Cunha,Consumidor,Centro-Oeste,2024-04-20,Educação
264,Sra. Ana Beatriz Jesus,Consumidor,Sul,2026-02-14,Tecnologia
265,Mariah Machado,Corporativo,Centro-Oeste,2023-11-07,Saúde
266,Lunna Teixeira,Pequena Empresa,Norte,2022-04-24,Saúde
267,Emanuel Fogaça,Pequena Empresa,Nordeste,2022-09-16,Tecnologia
268,Marcelo Martins,Pequena Empresa,Sudeste,2023-08-15,Serviços
269,Dom Melo,Consumidor,Norte,2022-02-10,Serviços
270,Gabriela Pereira,Consumidor,Norte,2021-04-05,Varejo
271,Dr. Leandro Andrade,Pequena Empresa,Sul,2024-11-21,Serviços
272,Benicio Rodrigues,Pequena Empresa,Nordeste,2024-10-24,Varejo
273,Luiz Henrique Moura,Corporativo,Nordeste,2022-11-16,Saúde
274,Vitor Gabriel Silveira,Corporativo,Sudeste,2023-01-02,Tecnologia
275,Heloisa Vargas,Consumidor,Sul,2025-09-26,Serviços
276,João Guilherme da Cunha,Consumidor,Sudeste,2022-10-27,Varejo
277,Cauê Azevedo,Pequena Empresa,Centro-Oeste,2022-06-05,Saúde
278,Juliana Garcia,Pequena Empresa,Norte,2021-08-27,Serviços
279,Benicio Martins,Pequena Empresa,Sudeste,2025-02-20,Educação
280,Rhavi Azevedo,Pequena Empresa,Norte,2025-09-15,Saúde
281,Olivia Jesus,Corporativo,Sul,2021-05-26,Serviços
282,Dra. Agatha da Costa,Consumidor,Centro-Oeste,2024-01-18,Saúde
283,Isaac Abreu,Consumidor,Sul,2025-01-02,Tecnologia
284,Jade Andrade,Consumidor,Centro-Oeste,2025-09-19,Tecnologia
285,Anna Liz Gomes,Consumidor,Centro-Oeste,2024-10-28,Tecnologia
286,Emanuelly da Mota,Consumidor,Norte,2022-05-28,Educação
287,Emanuella Lopes,Consumidor,Sul,2025-07-13,Tecnologia
288,Maria Liz Viana,Consumidor,Sul,2025-01-19,Educação
289,Henry da Luz,Consumidor,Sudeste,2024-05-06,Tecnologia
290,Dra. Aurora da Cunha,Consumidor,Sul,2022-06-30,Saúde
291,Nicole das Neves,Consumidor,Sudeste,2022-02-13,Serviços
292,Letícia Barbosa,Consumidor,Nordeste,2023-08-15,Serviços
293,Rafaela Macedo,Pequena Empresa,Nordeste,2023-12-09,Tecnologia
294,Maria Fernanda Cavalcanti,Consumidor,Nordeste,2022-11-03,Serviços
295,Raquel Santos,Consumidor,Sul,2026-01-06,Tecnologia
296,Sr. Murilo Mendonça,Consumidor,Sul,2024-12-07,Tecnologia
297,João Gabriel Almeida,Pequena Empresa,Sudeste,2021-06-12,Varejo
298,Bruno da Mota,Consumidor,Centro-Oeste,2025-12-11,Varejo
299,Larissa Novaes,Pequena Empresa,Sudeste,2025-12-27,Varejo
300,Dr. Dante Costa,Consumidor,Nordeste,2024-06-27,Educação
301,Dr. Mathias Sampaio,Consumidor,Sudeste,2024-01-23,Varejo
302,Evelyn Vieira,Consumidor,Centro-Oeste,2022-03-15,Tecnologia
303,Stella Teixeira,Consumidor,Sul,2022-04-17,Saúde
304,Bruna Melo,Pequena Empresa,Sudeste,2025-11-29,Varejo
305,João Vitor da Luz,Pequena Empresa,Nordeste,2021-06-17,Varejo
306,Yuri Porto,Corporativo,Nordeste,2023-02-08,Saúde
307,Srta. Julia Freitas,Consumidor,Sul,2021-10-26,Tecnologia
308,Olívia da Costa,Consumidor,Sudeste,2026-03-08,Educação
309,Júlia Duarte,Pequena Empresa,Centro-Oeste,2022-01-03,Varejo
310,Joana Cavalcante,Consumidor,Sul,2022-12-29,Saúde
311,Luísa Pinto,Consumidor,Sudeste,2025-04-19,Tecnologia
312,Dra. Valentina Moraes,Consumidor,Norte,2023-02-06,Serviços
313,Ester Casa Grande,Consumidor,Nordeste,2025-01-15,Educação
314,Gabriela Almeida,Corporativo,Centro-Oeste,2024-09-14,Saúde
315,Natália Pereira,Pequena Empresa,Centro-Oeste,2025-07-30,Saúde
316,Enrico Ramos,Pequena Empresa,Centro-Oeste,2022-08-30,Saúde
317,Sofia Siqueira,Consumidor,Nordeste,2022-05-09,Varejo
318,Bella Campos,Consumidor,Sudeste,2022-05-31,Serviços
319,Mariana Sampaio,Consumidor,Sul,2022-06-18,Educação
320,Raquel Vargas,Consumidor,Sudeste,2023-06-12,Tecnologia
321,Lucas da Mata,Consumidor,Sul,2021-08-15,Tecnologia
322,Caroline da Paz,Pequena Empresa,Centro-Oeste,2024-04-18,Serviços
323,Cecilia Fernandes,Pequena Empresa,Sudeste,2023-04-18,Saúde
324,Natália Rocha,Consumidor,Centro-Oeste,2025-07-09,Saúde
325,Bella Freitas,Corporativo,Norte,2025-06-21,Saúde
326,Eduardo Gomes,Pequena Empresa,Centro-Oeste,2021-03-27,Saúde
327,Pedro Miguel das Neves,Consumidor,Centro-Oeste,2022-04-07,Saúde
328,Diogo Mendonça,Pequena Empresa,Sul,2022-10-17,Serviços
329,Maysa da Rosa,Consumidor,Norte,2021-04-24,Varejo
330,Davi Marques,Consumidor,Centro-Oeste,2022-04-21,Educação
331,Lívia Farias,Consumidor,Centro-Oeste,2025-01-23,Saúde
332,Leonardo Gomes,Pequena Empresa,Norte,2022-09-09,Varejo
333,Lorena Gomes,Consumidor,Norte,2021-10-25,Tecnologia
334,Heitor Lopes,Consumidor,Sudeste,2024-08-05,Serviços
335,Benjamin Martins,Consumidor,Sul,2023-05-25,Varejo
336,Sr. Kaique Viana,Consumidor,Norte,2022-06-27,Saúde
337,Mariane Costela,Corporativo,Norte,2022-01-12,Saúde
338,Bárbara Martins,Pequena Empresa,Nordeste,2025-03-30,Saúde
339,Sr. Renan Monteiro,Consumidor,Norte,2023-08-11,Varejo
340,Sofia Farias,Consumidor,Sul,2022-12-24,Saúde
341,Pietro Pereira,Consumidor,Centro-Oeste,2024-08-11,Varejo
342,Sra. Joana Gonçalves,Consumidor,Centro-Oeste,2023-05-26,Saúde
343,Sr. Cauê Correia,Consumidor,Centro-Oeste,2022-06-28,Tecnologia
344,Agatha da Paz,Consumidor,Centro-Oeste,2022-03-12,Tecnologia
345,Dr. Raul Albuquerque,Consumidor,Nordeste,2024-07-04,Educação
346,Aylla Pinto,Pequena Empresa,Norte,2024-06-04,Saúde
347,Lavínia Teixeira,Pequena Empresa,Centro-Oeste,2023-01-14,Saúde
348,Pietro Nascimento,Consumidor,Sudeste,2022-05-24,Varejo
349,Enrico Souza,Consumidor,Centro-Oeste,2023-09-05,Varejo
350,Antonella Câmara,Pequena Empresa,Norte,2024-09-27,Saúde
351,Maria Luísa Cavalcante,Consumidor,Centro-Oeste,2025-03-17,Educação
352,Luiz Felipe Lopes,Corporativo,Nordeste,2024-08-01,Saúde
353,Luiz Fernando Moraes,Pequena Empresa,Sul,2022-04-25,Varejo
354,Maria Luísa Moraes,Consumidor,Sul,2024-03-14,Saúde
355,Sr. Diogo Sampaio,Consumidor,Norte,2025-10-28,Varejo
356,Dr. André Cavalcanti,Pequena Empresa,Sul,2025-09-03,Saúde
357,Vinícius Gonçalves,Consumidor,Sul,2024-05-19,Serviços
358,Thomas Cavalcanti,Consumidor,Sudeste,2024-12-29,Varejo
359,Ana Júlia Cunha,Corporativo,Norte,2026-02-08,Educação
360,Kevin Teixeira,Consumidor,Norte,2022-03-23,Serviços
361,Joana Teixeira,Consumidor,Sul,2023-04-27,Saúde
362,Raul Barbosa,Pequena Empresa,Sul,2025-04-09,Varejo
363,Rafaela Gonçalves,Consumidor,Sul,2024-08-26,Serviços
364,Vitor Hugo da Cunha,Consumidor,Nordeste,2026-03-10,Educação
365,Emilly Garcia,Corporativo,Centro-Oeste,2021-05-04,Varejo
366,Vicente Santos,Consumidor,Nordeste,2021-09-12,Serviços
367,Ana Carolina Monteiro,Corporativo,Norte,2024-10-08,Serviços
368,Miguel Moraes,Corporativo,Sudeste,2022-12-01,Serviços
369,Ana Beatriz Dias,Consumidor,Centro-Oeste,2022-08-26,Tecnologia
370,Aurora Montenegro,Consumidor,Sudeste,2024-05-08,Saúde
371,Marcela Leão,Consumidor,Norte,2024-05-11,Varejo
372,Zoe Sousa,Consumidor,Norte,2021-07-08,Varejo
373,Pedro Henrique das Neves,Consumidor,Sudeste,2022-04-29,Varejo
374,Isaque Gonçalves,Pequena Empresa,Sudeste,2025-05-26,Serviços
375,Renan Moreira,Consumidor,Sudeste,2022-11-04,Saúde
376,Clara Ramos,Consumidor,Norte,2023-10-05,Educação
